Total Medical Expenses,Medical Multiplier,Income Lost,Income Multiplier,Value of Injury Claim
21706,1.6,3799.8640000000005,1.51,48067.12264
21926,1.65,13568.982899999997,1.66,85840.37741399999
19673,4.14,28934.936099999995,1.96,196028.56695599997
13722,2.59,21362.84577,2.92,140645.1811884
7641,1.95,15778.63755,2.7,89059.546485
8379,1.51,12476.24967,2.2,65052.538614000005
2950,2.63,17580.3665,2.29,83178.272285
23109,4.75,26900.02425,2.39,227858.8564575
6482,2.76,15593.091959999998,2.86,93672.74692559999
28051,4.47,21871.642949999998,1.99,212655.82537049998
7009,3.51,15398.73504,2.4,92356.02417599999
3770,4.24,42638.131120000005,2.8,220647.829376
24540,3.54,32781.85494,1.69,207836.6447286
3958,1.96,16411.956120000003,2.59,83088.5585908
7674,3.23,15462.72383,2.77,98544.2126691
14764,2.01,11864.595839999998,2.37,81523.92382079999
6441,3.69,22697.21952,2.61,128401.4719872
5233,4.89,19753.38483,1.71,98874.4277193
18824,2.08,15626.247520000003,2.77,113691.1206704
27331,4.83,28254.74169,2.56,260850.3521064
15066,3.0,19122.701999999997,2.57,132588.74813999998
20424,4.52,12541.955879999998,2.04,142985.9817552
4380,3.82,35008.149339999996,1.69,145911.6710646
25884,1.83,14065.17504,2.95,116990.33644800002
2263,1.76,8477.89008,2.31,40522.5862448
15429,3.81,20891.83401,1.51,132114.8273751
5304,4.57,38869.75112,1.67,166891.2666104
17458,3.56,23029.5688,1.61,145287.223368
17058,2.58,15410.48448,1.63,99949.6986624
15806,1.72,13140.026,1.75,76461.4175
22872,1.98,10455.67116,2.22,89409.49229519999
10550,4.22,44335.944559999996,2.67,251569.8610952
21988,2.41,13940.11721,2.76,119346.0379196
19550,1.79,19216.87794,1.75,107057.792275
10974,2.14,9413.59036,2.89,69516.81686040001
25725,2.34,23986.738619999996,2.16,159981.33265919998
25986,4.67,37087.286009999996,2.34,282313.44128339994
26497,3.46,12577.88196,2.94,153814.3568824
22231,2.94,27080.93094,2.19,178828.2406386
24141,4.09,26347.44871,2.61,220198.42855309998
22432,3.95,29904.2018,2.89,234837.94680200002
18276,4.95,59288.7042,2.43,353115.159606
6145,4.54,25257.059660000003,2.37,138271.65071420002
24268,2.19,19263.10641,2.89,147343.51034490002
22369,1.75,11251.793,2.91,94392.05363
29362,3.82,33468.192740000006,1.52,229970.87844480004
10442,2.48,15733.782159999999,2.61,98428.8957576
10449,1.88,5086.146360000001,1.87,39327.5064132
7421,4.48,47762.597120000006,2.92,268238.05783040007
5370,4.26,20623.081739999998,2.65,118773.530091
24001,2.48,9513.29736,1.8,95673.009968
27239,3.32,13015.85084,2.95,154861.941658
1980,3.43,20498.92852,1.82,85097.3069464
13302,3.84,8252.23296,2.6,89039.951616
11984,1.83,11082.02616,2.24,68918.5109184
14171,1.84,6318.24904,1.8,50083.986352
22476,2.79,15602.857380000001,2.27,129332.2410126
17623,3.81,27187.988550000002,2.37,185955.13996350003
27921,4.93,32003.26755,2.28,274624.515114
28859,3.49,20993.599420000002,2.44,193929.4914248
17884,2.72,12456.44944,2.27,101833.51910880001
8849,2.57,19632.697740000003,2.59,112856.01262660002
1083,3.38,26868.721879999997,1.76,104686.93426879999
2046,1.8,2916.3077999999996,2.13,15727.151214
8050,4.13,25685.19275,2.18,140610.605695
16101,1.95,8485.545900000001,2.65,70854.738435
27064,4.73,28004.121090000004,2.12,243389.69889080003
29394,3.95,23553.11135,1.52,199013.25195200002
17646,2.33,14329.085260000002,2.3,102730.246618
1350,2.17,16764.17225,2.06,70992.03933500001
7325,4.82,32405.274520000003,2.31,174973.23318120002
25574,4.81,31276.22173,1.58,234979.8137934
4555,3.09,23171.47122,1.52,95638.5286944
27581,3.08,15938.08832,1.88,146789.2626816
25220,2.88,14663.19168,2.37,136711.7476416
9130,3.04,4309.500959999999,2.22,45941.29405119999
21608,2.96,6360.69072,2.67,93664.10566239999
4768,2.31,18868.38261,2.96,104601.2577456
14262,3.54,12926.63922,2.53,109045.1556666
4369,4.59,29321.58096,2.55,153466.903368
25687,2.44,19299.50696,2.85,156278.888756
9311,4.44,20270.59356,2.33,129112.51011480001
20424,3.52,10530.28416,1.86,112539.3768576
9626,3.39,16070.942490000003,1.8,93701.72146200002
27706,2.28,21584.0304,1.94,148210.759776
22587,4.58,22211.007700000002,1.86,189182.94972200002
27094,3.18,21164.24514,2.02,171239.1854628
17675,1.58,9940.65216,1.93,66993.2629888
28897,2.66,18057.34084,2.47,157582.33355480002
29490,2.72,10486.63904,2.48,127192.9428992
2074,2.49,12116.633820000001,1.75,50601.63682500001
1179,1.86,17551.74492,2.37,78894.0653004
19711,1.94,19259.90096,2.54,125679.2903584
2802,1.75,11590.26925,2.2,53582.63085
2387,4.39,38441.539849999994,2.0,164245.08939999997
26107,3.29,26929.26194,2.97,219730.46184180002
15619,3.02,23346.14624,1.99,140320.5034976
9753,1.81,12850.46062,2.89,80491.6824318
5721,3.06,21997.99728,2.93,125956.38659040001
17633,3.0,13664.559,1.74,104004.45066
23743,3.33,23414.50872,1.81,168273.4682232
18315,2.55,12973.9716,2.78,108718.834248
27469,1.87,7836.43509,2.18,84123.3286762
22567,2.04,8452.45236,2.55,84495.338238
22412,2.67,15731.43708,1.97,122293.84520760001
9518,4.35,21372.463499999998,2.19,130953.92206499999
20342,4.1,23094.4308,1.76,170237.259808
13231,3.3,22547.563499999997,2.58,146930.14083
21977,2.48,15464.647599999998,2.28,120691.65172799998
27380,2.54,23729.777280000002,2.23,169922.1578944
17870,1.57,7968.0844099999995,2.01,60007.918484099995
20668,4.51,34688.66499999999,2.74,257636.95209999997
7888,3.31,32074.393190000003,2.25,162425.4510575
6229,1.52,3715.2083199999997,1.79,23548.719532799998
6964,3.77,26387.93404,2.82,153444.1220728
16527,2.92,8077.69528,2.04,80892.72893119999
5497,1.61,10385.503030000002,1.72,47484.24127160001
2601,2.3,14229.909099999999,2.7,72862.87276999999
12645,2.02,9299.560860000001,2.93,71389.7350398
2537,1.63,6301.148049999999,1.52,26315.351135999997
28581,2.3,8281.3087,2.51,103085.002237
23943,2.59,8218.9506,1.64,91929.35018399998
7158,4.8,21052.142399999997,2.51,129303.562224
26735,3.05,13995.8766,2.12,139204.761592
14581,3.36,23054.535839999997,1.55,130835.76223199998
19011,4.11,21202.951590000004,1.92,161250.7802328
27947,2.95,12885.67965,1.64,129347.52392600001
6971,3.33,12659.061599999999,2.26,77141.032416
27404,2.46,18075.76512,2.63,151104.6325056
23461,1.94,13528.0177,2.5,106390.41965
29339,2.49,17586.142920000002,2.71,155884.8431532
26878,4.24,22297.286560000004,2.4,212070.78086400003
2596,4.21,13397.82401,1.95,63850.564839499995
18800,3.45,10501.45845,2.73,114531.89846849999
26816,2.66,20897.91494,2.63,168087.9061722
3914,3.76,32949.7072,2.34,157718.36924799997
26956,2.91,10829.393310000003,1.96,121326.35750760001
12845,2.56,21435.65568,2.79,135559.9907072
23836,3.82,23567.93312,1.67,177547.8345504
5899,2.4,9288.3264,2.33,54376.053312000004
10462,3.3,12251.157599999999,1.61,78751.27893599999
27551,1.78,8059.18674,2.66,86596.5902084
14385,4.59,32962.53879,2.74,222269.5838646
28468,2.86,23401.69546,2.98,197958.9233908
8574,2.71,12639.017240000001,2.94,85672.28516560001
19006,1.62,7055.11944,1.77,57387.520288800006
12749,3.68,23036.87728,2.11,141597.8856208
26269,3.16,19953.82632,2.59,174598.1028088
12095,2.06,16210.057600000002,2.77,102237.674752
7988,3.05,17107.5598,1.9,91082.88321999999
15608,3.19,23121.100860000002,2.42,151984.78580120002
25148,3.24,28692.947519999998,2.18,201416.0406336
2150,3.68,25282.166719999997,1.93,107270.91520959999
2051,3.35,22118.9244,2.1,97558.44004
22557,4.24,34419.45504000001,1.58,218863.3290432
13440,2.64,23216.5428,2.8,146921.00543999998
27699,3.84,20212.75008,2.59,199140.6828672
14097,2.75,18148.42975,2.57,121705.07395749999
11396,3.73,28393.21506,2.85,180214.173041
25312,1.85,4761.7038999999995,1.6,63969.33404
2743,3.03,23116.28814,2.65,115802.029851
9676,3.85,11658.08875,2.26,86916.05807500001
18219,1.98,7601.96052,1.93,65949.3248436
14972,2.82,17901.650459999997,1.86,111321.41077559999
8564,4.95,35845.90515,1.78,177889.321467
18241,2.57,19851.122040000002,2.05,127276.414262
2314,3.81,21230.77161,2.9,112847.12088899998
20460,4.85,28812.6472,2.42,226582.900624
5675,4.34,41726.35711999999,1.97,190283.13776639997
7710,4.71,19879.19556,2.2,119806.72135200001
15770,4.67,3899.22584,2.64,91738.3078976
5591,1.78,9078.36846,1.76,44086.645409599994
2097,1.79,7312.43282,2.28,35050.8424696
21058,3.4,21566.5808,2.19,161961.173552
18043,4.9,24518.762100000004,2.99,210759.32287900004
23371,4.66,30837.144580000004,2.33,242433.69603140003
21779,3.09,28909.870049999998,2.92,209533.67064599998
18504,3.9,31878.5376,1.6,186928.33536
13212,3.09,18573.6192,1.87,112704.986304
25542,3.89,16697.12091,2.16,168818.4029856
28272,4.68,17674.839,2.01,203189.06439
12144,2.33,15876.494180000002,2.79,104343.92712220001
16075,2.65,13470.199100000002,1.75,93111.996625
1874,2.74,27220.338200000002,1.81,108844.24854200002
4055,1.95,7251.49815,2.68,41844.261342000005
15788,4.77,35821.53612,1.58,203549.85930959997
8476,2.2,15550.948600000003,1.64,75252.65290400002
5781,3.77,17149.12303,2.36,96564.54641079999
4314,3.14,20332.17196,1.51,84911.88357959999
16040,4.4,26865.898400000005,2.0,178039.59360000002
17860,3.81,8385.459480000001,2.61,106703.5682028
5009,4.09,13913.90597,1.67,71550.8449099
21931,4.76,28118.86224,2.58,233175.9490592
2207,2.07,22347.088649999998,2.43,103566.09271949998
23418,4.67,21354.01398,2.98,215705.0496204
26932,3.84,23677.4208,2.52,210440.822016
13794,2.08,13582.017280000002,2.17,85328.53205760001
27757,2.43,20253.833730000002,2.72,163047.60520560003
17037,3.17,19748.2441,2.42,141294.528922
11976,3.52,20231.816,2.48,132794.05568
27184,3.33,26438.99121,2.82,217958.6576322
10226,3.77,26079.762929999997,1.87,139480.7025391
8757,3.26,29999.028559999995,2.36,159343.58452159996
15439,4.46,29281.78658,2.38,197112.1652204
12256,2.0,14616.410000000002,1.84,80639.01440000001
13516,3.13,17850.21472,2.78,127629.10636159999
21891,3.67,17990.98592,2.71,165077.5136832
11544,4.47,19646.794319999997,2.84,146692.1645088
26012,2.11,11424.09282,2.85,110292.17017699999
4169,2.05,7635.4259,2.44,42447.74099599999
22639,4.56,36368.63568,2.05,250526.814504
12084,1.83,7043.7926099999995,1.53,46978.3079133
24380,1.73,6889.892809999999,1.99,69668.0723119
15504,4.1,23353.5713,1.7,149974.61380999998
11289,2.7,17732.466,2.3,106729.9038
12871,3.75,19805.3325,2.47,136796.086275
9337,1.95,16765.75875,2.49,93485.4067875
7755,4.84,40854.6578,1.89,196458.81884199998
20266,4.99,47399.39124,2.22,301152.7710328
12333,1.72,2629.4018399999995,2.79,33807.59481359999
19111,4.48,40688.82048,2.01,248779.45012480003
21469,4.28,18864.11284,1.79,163382.30766360002
23364,3.97,25751.095340000003,2.99,221253.04574660002
20975,2.67,16817.598420000002,2.11,125123.5795062
1391,4.69,34385.522919999996,2.19,150599.13103479997
2462,1.52,10634.620719999999,2.97,56596.304978399996
5965,4.51,29692.577199999996,2.55,162003.37625999996
28243,2.96,20709.2848,2.45,175755.59736
28219,1.72,9943.39568,1.67,85028.9421456
1452,3.16,30479.8116,2.7,147843.43452
2948,4.22,39103.88728,2.96,206395.84090880002
5677,4.05,25410.3966,1.7,117010.31741999999
2436,3.49,21446.583970000003,2.82,111874.17473540001
23336,4.34,37135.45738,1.87,244992.46006060002
26766,2.25,7680.10725,1.51,87180.67644750001
27124,2.65,14738.279750000002,2.3,135253.202925
12044,1.75,9205.526749999999,2.26,60292.54395499999
2025,4.78,18503.537740000003,2.65,95720.95049100001
11920,3.75,19734.07125,2.74,138239.49772500002
10181,3.74,35804.6282,1.58,166257.508956
8423,3.02,10099.81318,2.24,68260.66788319999
27378,3.55,17953.997199999998,2.49,177805.34742799998
15522,3.57,26245.75464,1.93,158559.3557352
22620,2.72,22465.11648,1.88,148691.0519424
29712,2.2,11486.444200000002,1.95,110737.85459
22193,2.55,12237.4857,1.93,104685.468801
10894,4.83,22358.72205,1.53,131544.30883650001
12176,1.93,10699.46452,2.24,68865.40956480001
18718,4.18,14032.18894,1.9,132966.77686599997
26196,4.14,9692.75844,2.1,148191.74960399998
18807,4.89,30320.54769,2.31,222647.7905439
6704,4.64,19161.172319999998,2.41,115607.32993119999
11829,1.69,7830.366569999999,1.7,48963.36630899999
6926,3.63,22839.99267,1.94,115130.9511198
5059,4.03,30522.591320000003,1.7,133321.357884
20466,4.29,39646.23234,3.0,286030.3017
15265,2.97,23713.99173,1.77,134738.7988221
4820,4.19,30304.531150000006,2.54,157778.37142100002
22726,2.44,16547.182080000002,2.25,125776.96384000001
21772,4.13,30753.875669999998,2.66,233231.42062219998
28584,1.57,8384.625820000001,2.43,82020.77238260001
25782,3.43,21196.202930000003,1.58,164314.66648940003
14726,2.95,17630.793,1.63,107441.47859000001
15832,2.03,11139.98634,2.63,83717.0967542
27787,2.68,16178.211280000001,2.66,149859.6245648
23171,3.4,16623.8886,1.65,139458.59339
9416,2.64,17582.788080000002,2.36,101519.19602880001
28143,4.82,25440.47092,2.51,250385.7838492
15094,1.54,13726.59904,1.5,71287.85664
22546,3.67,9986.6572,2.86,131278.97399199998
3586,4.96,24704.87216,1.51,104500.6612816
6029,4.29,12321.197460000001,2.58,82295.4943668
3771,2.93,9452.944730000001,2.25,51224.04510250001
19631,4.43,21125.74413,2.55,183087.4657915
18340,4.67,22204.645139999997,2.99,196448.9792486
4411,2.54,13202.24944,2.31,68105.6350864
4426,1.58,7948.1742,2.76,44826.389192
6778,2.68,30476.558,2.95,169024.0021
19403,4.5,27622.0125,1.57,185924.084625
1917,4.83,25675.845299999997,1.94,110421.94048199999
24385,3.14,22578.452599999997,1.95,165753.78777
12461,4.28,33707.469560000005,2.9,218499.68084400002
24609,2.46,5971.076819999999,1.53,81616.0411746
6263,3.92,20107.1892,2.16,108196.86707200001
20017,3.5,23091.4215,2.42,172123.58303
12974,2.97,23607.380610000004,2.65,148307.0998365
9221,2.37,7054.9212,1.72,48098.076864
15041,3.96,34098.645240000005,1.6,182317.48286400002
6835,2.77,12551.784100000003,2.41,74286.31788100001
18013,3.18,20508.92982,2.25,144444.291735
25791,3.48,10185.323159999998,1.92,129679.14678719999
19797,2.56,13600.450560000001,2.09,106306.1627904
28410,1.96,10382.990240000001,1.74,94515.9834976
6018,4.72,30520.794399999995,2.41,163001.663304
7905,3.51,13675.98141,1.74,78894.7204734
6583,1.54,9048.273079999999,2.47,50583.600667599996
26323,3.09,15690.25986,2.05,144883.62243299998
9618,2.03,9784.73195,1.67,55434.5062565
17202,4.54,29639.19478,2.02,197246.6430156
23790,3.35,19620.688700000002,2.59,169755.461133
8214,4.95,39548.77245,1.59,182639.3930955
1900,3.82,28272.610740000004,1.94,118652.08631560001
27159,3.61,25913.085399999996,1.75,195218.06024999998
20132,4.1,18862.4764,2.88,174590.084832
26992,2.47,7843.020640000001,2.04,98356.04338560002
8306,3.78,22462.9902,2.17,125067.34913399999
2758,2.19,7989.163799999999,2.43,41432.015633999996
23529,2.08,14235.48048,1.73,102038.66219039999
6940,2.04,16696.50444,2.85,95135.646534
28574,3.59,24677.12868,1.95,200055.318286
6420,4.83,36675.64866,1.54,160840.39625639998
23330,4.86,17838.85842,2.45,192766.71996900003
29569,4.11,31100.63715,2.36,257127.367974
14469,4.59,34511.48478,2.5,221714.39151
24102,2.57,16080.88578,1.63,120315.7553814
9240,2.04,13732.649640000001,1.68,69385.7506752
1725,4.47,31575.990599999997,1.96,132751.672776
17442,2.84,18250.63236,1.59,115055.05017239999
24040,3.41,24323.335629999998,2.9,201160.74458700002
19061,4.26,34675.121999999996,2.39,233423.64558
25623,3.68,26740.447679999997,2.07,203126.2620576
25498,2.41,16964.927490000002,1.53,121336.37403970001
6651,3.3,20430.6828,1.55,94477.22394
22521,1.97,9883.70867,2.14,85284.9238938
25867,4.78,38337.813140000006,2.47,295014.28473580006
8540,2.14,14589.203900000002,1.96,76048.84744400001
26927,1.59,7385.77101,2.56,76493.0458056
22300,2.1,12724.3179,2.35,102180.782865
27242,3.56,13391.81576,1.64,145727.72936640002
23283,4.18,26094.00948,2.84,223617.94588319998
5593,4.77,44206.929,2.19,211905.64250999998
26968,3.15,23169.78405,2.26,183652.480053
1240,3.66,22840.727759999998,2.01,96129.7183176
1327,3.79,19530.442290000003,2.74,97603.62645460002
24415,3.24,19205.61516,2.75,170331.27201000002
13148,3.62,24017.252,2.2,148468.2184
6378,2.72,12783.311840000002,2.24,71549.40220160001
23930,2.17,4863.63836,2.94,75954.4734984
19598,3.34,22261.59766,2.97,176097.4603702
2350,3.08,19629.8102,2.44,94394.357288
29141,3.91,4303.92077,1.97,131027.87545689999
23057,3.47,-3596.8354400000003,1.67,66807.4039352
4262,4.66,24003.62738,2.43,126196.98929340002
17852,2.91,14453.321070000002,2.99,124071.3921393
27858,4.76,26376.86408,2.33,246815.90146639998
24333,3.12,25557.05256,2.12,181214.0165472
5323,2.94,10260.33834,2.73,64181.02034820001
12614,2.9,15243.246799999999,2.55,105937.37293999999
25786,4.01,17471.56198,1.79,169619.07990419999
7450,2.62,8411.26372,2.17,54593.96971240001
15350,3.2,20894.784,2.51,143355.47584
24003,2.63,17373.76685,1.78,128800.728693
1053,1.65,8519.679299999998,1.78,33941.83775399999
27958,1.52,9516.57408,2.86,88746.7100288
22960,3.62,10278.327539999998,2.38,128134.27462519999
8610,2.05,19785.8333,2.88,114205.36650399999
3890,3.99,21686.81907,2.88,121352.7770616
14771,2.27,15428.443170000002,1.62,89381.1342754
21063,4.55,32646.013399999996,2.47,241764.329898
2226,3.69,27582.17436,2.67,137022.6942612
6653,2.84,18106.857359999998,1.79,87519.5093944
26899,4.23,28632.996900000006,2.67,247498.86552300001
26840,3.26,27330.49688,2.05,198186.912364
25477,1.63,7150.291659999999,2.19,71487.23205539999
12132,1.78,11909.04016,2.17,71255.6574672
24334,4.38,29645.05764,2.57,242060.83341479997
9261,4.2,14773.638600000002,2.62,107150.41033200003
25826,2.75,29116.824000000004,1.85,183121.27240000002
26253,1.91,10446.06695,2.41,96210.3852495
22018,2.32,11896.319679999999,2.32,102473.8610176
22049,2.27,15220.37951,1.58,104540.18864580001
8985,3.76,24024.36208,2.28,136607.8697024
5010,2.6,18268.1382,2.89,102357.195798
20453,2.81,18962.368940000004,1.95,132374.287313
4671,3.94,23942.26104,2.02,114651.6293808
21248,1.81,14121.8915,2.61,103560.799815
16461,4.99,10967.022,2.24,128640.56328
9216,4.93,36945.53339,1.88,188783.5495532
12652,3.36,22058.84352,2.97,152143.1722944
22068,2.2,7961.989200000001,1.68,77849.72025600002
25460,1.57,10059.07321,2.65,86746.8904265
9609,2.03,7546.196139999999,2.42,52860.456938799995
3557,2.85,25814.197050000002,1.82,108747.68273100001
16947,3.85,25898.00675,2.51,182045.9604425
12416,2.47,14868.29591,1.52,83003.92160320001
23221,2.34,18276.80166,2.66,139507.03573560002
22684,4.32,35331.5952,1.84,233668.20556800003
12567,4.66,10676.754340000001,2.16,102977.5180544
28217,2.17,8011.2494,2.55,97682.07477
18902,1.91,14603.178129999998,2.06,95391.7232078
19634,3.3,6811.147199999999,2.4,94761.24767999999
2972,3.31,22165.779100000003,2.79,116011.401889
1662,4.64,29828.620479999998,2.96,155661.6375808
11330,3.7,29078.041,2.47,171899.84327
8535,2.75,25314.151500000004,1.77,118905.60115500001
6343,2.29,5837.61075,2.54,41028.222805
28969,1.7,13404.416699999998,1.95,102194.74596499998
19610,4.01,23024.20497,2.07,172344.6142279
20231,1.58,12634.242479999999,1.54,76690.1983792
8933,3.95,24332.683350000003,2.33,140645.8689055
2066,1.74,8691.00072,2.7,44442.543384000004
13171,3.79,15398.250769999999,2.05,112281.0056185
28541,4.18,17037.0739,2.01,187620.046339
29592,4.74,45199.720440000005,1.91,316996.98692040006
16783,2.69,12857.68621,2.83,107248.8943943
14812,2.39,14236.62055,2.83,104163.55725649999
25791,2.15,8630.03335,2.49,94199.4997415
1416,4.07,34284.01537,2.21,150098.8247077
6529,3.27,14042.138640000001,1.95,76816.27762800001
24842,4.75,28304.437749999997,1.87,227537.67409249998
4029,4.17,27520.99503,2.46,139544.56783379999
2367,3.77,32429.2384,2.98,170421.19723199998
3668,2.79,16174.801800000001,2.79,87711.02062200001
20971,4.3,18418.5985,1.6,156482.2546
25680,2.09,17465.697369999998,1.78,119691.5360586
9852,4.84,22892.3772,2.68,154820.005296
21434,2.16,13078.6596,1.74,95211.626904
11856,4.15,35617.41235,1.85,186329.4375475
6850,1.63,10475.434609999998,2.58,59142.99051379999
3292,4.1,37444.8777,1.68,151294.34993599998
22972,4.36,30779.768800000005,1.88,219583.42294400002
24048,3.48,20436.21996,2.25,170540.97483
13055,2.07,10157.599709999999,1.81,65724.3048951
24765,2.02,18537.61474,1.87,121765.86904380002
24669,1.76,8785.0928,2.76,85234.481728
10681,2.01,12221.141699999998,1.51,64365.01736699999
13954,1.81,5374.47644,1.93,46378.4324092
5978,2.07,16921.70352,1.71,75153.9800592
20182,2.72,17579.74624,2.08,126620.40465920001
6184,2.92,23021.24788,1.64,101854.62228319999
15170,4.85,34112.37315,2.88,240042.880972
1998,4.87,22689.782909999998,2.12,103212.1655892
10558,4.67,33761.88175,2.26,193131.476255
1776,2.53,7791.74473,2.87,42439.0768351
14789,4.24,41744.631680000006,1.54,210481.35614720001
9827,4.37,37208.17272,2.22,199962.47887840003
11274,2.2,14776.344000000001,1.97,83464.88568
9706,4.95,32199.7797,1.53,161709.922341
29708,3.13,22174.854339999998,1.58,172372.0185372
29618,3.55,25779.453899999997,2.33,216768.93538699998
26058,4.87,20041.267499999998,1.76,202257.6258
1227,3.58,17979.50464,2.24,80625.7596736
18569,2.11,9403.227659999999,2.15,78203.984789
8025,1.66,139.15115999999998,2.3,13919.849988
18910,3.98,19806.35458,2.37,161815.5695146
12551,1.63,7221.573189999998,1.99,49272.20702809999
28246,4.19,23472.832520000004,2.37,220927.01811240002
4351,3.35,29997.89325,2.15,139067.1069875
4230,1.99,11788.933130000001,2.83,65358.2470179
11954,2.55,15585.2634,1.8,89706.70092
7768,1.79,926.7331199999999,1.87,17491.1771744
22879,4.38,27565.61322,2.21,216261.2516562
15375,3.25,27199.35075,2.35,168285.9257625
3280,4.17,17918.31903,1.77,81229.6627431
22840,3.66,30125.70522,2.54,220365.10169880002
5991,4.83,29783.20968,2.51,163258.8056568
24299,4.64,17392.752319999996,2.29,187362.26745279998
18226,3.85,26663.5523,2.49,189889.449827
15707,2.89,18241.266730000003,2.03,118905.53492190002
21479,2.21,9142.15783,2.55,89065.4081265
16146,2.66,17880.458820000003,2.57,124662.05680740002
12542,2.43,12691.958040000001,2.48,87337.0320192
14081,1.82,17188.00538,1.62,87847.9994756
19995,2.78,9674.430579999998,2.12,95444.7539896
27947,2.02,12493.74848,2.42,111675.30828160001
20088,2.25,11034.8865,1.78,86909.87097
28129,4.08,28602.65232,2.78,251486.9980896
20163,4.72,26234.3736,1.67,191449.51111199998
12624,3.49,37920.70319,1.64,182089.1196116
7735,4.13,11894.8956,2.57,86305.22289199999
13399,1.71,13701.870899999998,2.86,89503.38257399999
15196,3.36,12354.96192,1.79,97883.8656768
23990,2.03,15963.276489999998,1.85,110158.31448649999
27610,4.9,33748.5834,2.81,297619.686154
16988,1.63,12608.912269999997,2.35,82539.20837449998
17899,2.75,19318.222,1.68,120313.30696
13087,3.02,23674.08804,1.63,125459.6795852
13491,1.95,9693.703500000001,2.3,67990.37505
9665,4.05,29288.721149999998,1.7,147511.518255
6147,4.13,25485.99459,2.95,151542.7832205
22167,1.73,6392.44169,1.8,62640.18842199999
7077,3.79,16242.13975,2.08,93089.76018
4814,4.98,39505.4685,2.08,185156.03148
14740,1.84,14969.3844,2.89,100321.889716
24363,2.46,9921.219360000001,2.37,103288.70860320001
15296,2.61,14601.537989999999,2.74,109133.85007259999
16145,3.3,19918.935299999997,2.28,138531.54308399998
